X,system
9.89999999999997,-1.7143941599100423
9.99999999999997,-1.87169053288665
10.09999999999997,-2.0381201990920377
10.199999999999969,-2.2125160163915414
10.299999999999969,-2.3961900701231498
10.399999999999968,-2.5882227712895247
10.499999999999968,-2.78869742105017
10.599999999999968,-2.998466433633517
10.699999999999967,-3.2192514263100884
10.799999999999967,-3.446959917271733
10.899999999999967,-3.685368558705606
10.999999999999966,-3.931482818706764
11.099999999999966,-4.18899859424414
11.199999999999966,-4.453811225867317
11.299999999999965,-4.728123644206258
11.399999999999965,-5.012686332146858
11.499999999999964,-5.306819396443511
11.599999999999964,-5.610566401962973
11.699999999999964,-5.9239588402484635
11.799999999999963,-6.251280871020371
11.899999999999963,-6.585328304204053
11.999999999999963,-6.929404804606697
12.099999999999962,-7.283633445587278
